"id" "name" "gender"
511 "Åsulv Cato Prytz" 1
512 "Atle Berntzen" 1
513 "Atle Degré" 1
514 "Atle Jacobsen" 1
515 "Atle Kåre Tranøy" 1
516 "Atle Lygren" 1
517 "Atle Marøen" 1
518 "Atle Ryssmo" 1
519 "Atle Sveinung Eide" 1
520 "Atle Teigland" 1
521 "Atle Ulveseth" 1
522 "Atul Damji Shah" 1
523 "Au Fook Yew" 1
524 "Aud-Vera Thorsen" 2
525 "Aud Agnes Mørtvedt" 2
526 "Aud Ingrid Espeland" 2
527 "Aud Lysenstøen" 2
528 "Aud Sakshaug" 2
529 "Aud Wenche Haaland Sandkleiva" 2
530 "Audhild Bang Rande" 2
531 "Audun Bø" 1
532 "Audun Bondkall" 1
533 "Audun Hordvik" 1
534 "Audun Jan Myrhol" 1
535 "Audun Jarle Pettersen" 1
536 "Audun Ludvig Olsen" 1
537 "Audun Netland" 1
538 "Audun Olav Solberg" 1
539 "Audun Rønningen Danielsen" 1
540 "Audun Solås" 1
541 "Audun Stensvold" 1
542 "Audun Wickstrand Iversen" 1
543 "Augusto Konestabo" 1
544 "Axel Borge" 1
545 "Axel Camillo Eitzen" 1
546 "Axel Dammann" 1
547 "Axel Erling Dønnum Jensen" 1
548 "Axel Ramm" 1
549 "Axel Stove Lorentzen" 1
550 "Azra Resulbegovic" 2
551 "Baard Arild Nordvang" 1
552 "Baard Snekkevik" 1
553 "Baard Syrrist" 1
554 "Barbara Ofstad" 2
555 "Barbara Rose Milian Thoralfsson" 2
556 "Barbara Singer Lady Judge" 2
557 "Barbro Lill Hætta-Jacobsen" 2
558 "Bård Arve Lærum" 1
559 "Bård Brath Ingerø" 1
560 "Bård Gjertsen" 1
561 "Bård Idar Kvam" 1
562 "Bård Martin Mikkelsen" 1
563 "Bård Olaf Antonsen" 1
564 "Bård Wæhle" 1
565 "Baste Nepstad" 1
566 "Beate Jelstad" 2
567 "Beate Sæther" 2
568 "Ben Francis Allen" 1
569 "Benedicte Elisabeth Bakke Agerup" 2
570 "Benedicte Elisabeth Schilbred Fasmer" 2
571 "Benedicte Heidenreich Fossum" 2
572 "Benedicte Tostrup" 2
573 "Benedikte Bettina Bjørn" 2
574 "Bengt-Göran Viktor Liljenberg" 1
575 "Bengt-Gøran Wallgren" 1
576 "Bengt Arne Akselsen" 1
577 "Bengt Arve Rem" 1
578 "Bengt Einar Andersson" 1
579 "Bengt Ernest Broman" 1
580 "Bengt Henrik Olof Olsen" 1
581 "Bengt Lie Hansen" 1
582 "Bengt Olof Belfrage" 1
583 "Bengt Olof Thuresson" 1
584 "Bengt Olsen" 1
585 "Bengt Roland Sandström" 1
586 "Benjamin Cabarrubias Bye" 1
587 "Benjamin John Latimer Stanway" 1
588 "Benjamin Schei" 1
589 "Benny Ravn Bonde" 1
590 "Benoit Louis Marcel Timmermans" 1
591 "Bent Brugård" 1
592 "Bent Jørgen Fuglesang" 1
593 "Bent Pedersen" 1
594 "Bente-Lill Bjerkelund Romøren" 2
595 "Bente-Lise Melås" 2
596 "Bente Anita Fjeld" 2
597 "Bente Avnung Landsnes" 2
598 "Bente Bømark Hanssen" 2
599 "Bente Catherine Iversen" 2
600 "Bente Franck-Sætervoll" 2
601 "Bente Frantzen" 2
602 "Bente Gudveig Brevik" 2
603 "Bente Hagem" 2
604 "Bente Helen Overvik Herfjord" 2
605 "Bente Holm Mejdell" 2
606 "Bente Iren Falch-Larsen" 2
607 "Bente Iren Larsen" 2
608 "Bente Johanne Sørensen" 2
609 "Bente Kotte Norvik" 2
610 "Bente Larsen" 2
611 "Bente Lia Hansen" 2
612 "Bente Lie Nilsen" 2
613 "Bente Milde" 2
614 "Bente Myhre" 2
615 "Bente Negård Halvorsen" 2
616 "Bente Rathe" 2
617 "Bente Sollid" 2
618 "Bente Sollid-Hansen" 2
619 "Bente Thiis Thornton" 2
620 "Bente Thomassen" 2
621 "Bente Titlestad Skarbø" 2
622 "Benthe Elisabeth Løvenskiold Kveseth" 2
623 "Beret Luise Sundet" 2
624 "Berge Gerdt Larsen" 2
625 "Bergit Singusdal Våle" 2
626 "Bergljot Hilda Antonsen" 2
627 "Berit Aarvaag Stokke" 2
628 "Berit Bjerg" 2
629 "Berit Christine Pedersen" 2
630 "Berit Forsbakk" 2
631 "Berit Hofvander" 2
632 "Berit Kjøll" 2
633 "Berit Langaas" 2
634 "Berit Normann" 2
635 "Berit Rynning" 2
636 "Berit Simenstad" 2
637 "Berit Slåtto Neerbye" 2
638 "Berit Sørland Wennersberg" 2
639 "Berit Stokke" 2
640 "Berit Svendsen" 2
641 "Berit Synnøve Aagren Aas" 2
642 "Berit Vardenær Hertz" 2
643 "Bernd Hubert Joachim Bothe" 1
644 "Berndt Kenneth Karlberg" 1
645 "Bernhard Mellbye" 1
646 "Bernt Aksel Larsen" 1
647 "Bernt Daniel Odfjell" 1
648 "Bernt Erik Thorvik" 1
649 "Bernt Gregar Røsholt" 1
650 "Bernt Håkon Nygård" 1
651 "Bernt Harald Kilnes" 1
652 "Bernt Jacob Schwings Pettersen" 1
653 "Bernt Olufsen" 1
654 "Bernt Reinhardt Pedersen" 1
655 "Bernt Reitan" 1
656 "Bernt Stilluf Karlsen" 1
657 "Bernt Theodor Walther" 1
658 "Bernt Torgny Erling Eriksson" 1
659 "Bert Lars-Johan Jarnheimer" 1
660 "Bertel Oliver Humlen" 1
661 "Bertel Otto Steen" 1
662 "Bertil Thornes Einvik" 1
663 "Bertrand Francis Georges Facon" 1
664 "Bettina Banoun" 2
665 "Bijan Mossavar Rahmani" 1
666 "Bill Schjelderup" 1
667 "Billy Robert Fredagsvik" 1
668 "Birger Helen Cotta Schønberg" 1
669 "Birger Henry Sørensen" 1
670 "Birger Magnus" 1
671 "Birger Morland" 1
